condition,proxy_profile,split,strict_score,proxy_admission_rate,proxy_mean_item_score,proxy_admitted_count,strict_confirmed_count,challenge_failure_count,disagreement_count,valid_json_count,audited_precision,audit_file,experiment_tag
baseline_1b_v3,baseline_proxy_v3,calibration,0.2381,0.4286,0.4524,9,4,5,6,10,0.4444,results/v3/audits/audit__baseline_1b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
baseline_1b_v3,drifted_proxy_v4,calibration,0.2381,0.4762,0.4762,10,5,5,5,10,0.5,results/v3/audits/audit__baseline_1b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
proxy_gaming_1b_v3,baseline_proxy_v3,calibration,0.2857,0.619,0.7952,13,6,7,7,19,0.4615,results/v3/audits/audit__proxy_gaming_1b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
proxy_gaming_1b_v3,drifted_proxy_v4,calibration,0.2857,0.9048,0.8619,19,6,13,13,19,0.3158,results/v3/audits/audit__proxy_gaming_1b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
real_model_change_4b_v3,baseline_proxy_v3,calibration,0.5714,0.8095,0.8048,17,12,5,5,19,0.7059,results/v3/audits/audit__real_model_change_4b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
real_model_change_4b_v3,drifted_proxy_v4,calibration,0.5714,0.8095,0.8238,17,12,5,5,19,0.7059,results/v3/audits/audit__real_model_change_4b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
ruler_drift_only_v3,drifted_proxy_v4,calibration,0.2381,0.4762,0.4762,10,5,5,5,10,0.5,results/v3/audits/audit__ruler_drift_only_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
baseline_1b_v3,baseline_proxy_v3,evaluation,0.2857,0.4762,0.4619,10,6,4,4,11,0.6,results/v3/audits/audit__baseline_1b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
baseline_1b_v3,drifted_proxy_v4,evaluation,0.2857,0.4762,0.481,10,6,4,4,11,0.6,results/v3/audits/audit__baseline_1b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
proxy_gaming_1b_v3,baseline_proxy_v3,evaluation,0.0952,0.619,0.8619,13,2,11,11,21,0.1538,results/v3/audits/audit__proxy_gaming_1b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
proxy_gaming_1b_v3,drifted_proxy_v4,evaluation,0.0952,0.9524,0.9095,20,2,18,18,21,0.1,results/v3/audits/audit__proxy_gaming_1b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
real_model_change_4b_v3,baseline_proxy_v3,evaluation,0.619,0.8095,0.8381,17,13,4,4,21,0.7647,results/v3/audits/audit__real_model_change_4b_v3__baseline_proxy_v3__20260316T093356Z.jsonl,20260316T093356Z
real_model_change_4b_v3,drifted_proxy_v4,evaluation,0.619,0.8095,0.8429,17,13,4,4,21,0.7647,results/v3/audits/audit__real_model_change_4b_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
ruler_drift_only_v3,drifted_proxy_v4,evaluation,0.2857,0.4762,0.481,10,6,4,4,11,0.6,results/v3/audits/audit__ruler_drift_only_v3__drifted_proxy_v4__20260316T093356Z.jsonl,20260316T093356Z
